date,home_team,away_team,home_score,away_score,tournament,neutral
2017-06-03,USA,Germany,0,4,FIFA World Cup qualification,False
2017-06-05,USA,Japan,0,0,FIFA World Cup qualification,False
2017-06-07,USA,Belgium,2,1,FIFA World Cup qualification,False
2017-06-09,USA,England,2,3,FIFA World Cup qualification,False
2017-06-11,USA,Brazil,0,1,FIFA World Cup qualification,False
2017-06-13,USA,Portugal,3,3,FIFA World Cup qualification,False
2017-06-15,USA,Croatia,1,2,FIFA World Cup qualification,False
2017-06-17,Nigeria,South Korea,4,1,FIFA World Cup qualification,False
2017-06-19,Nigeria,Spain,1,4,FIFA World Cup qualification,False
2017-06-21,Nigeria,France,1,0,FIFA World Cup qualification,False
2017-06-23,Nigeria,Uruguay,3,2,FIFA World Cup qualification,False
2017-06-25,Nigeria,Germany,1,1,FIFA World Cup qualification,False
2017-06-27,Nigeria,Japan,2,1,FIFA World Cup qualification,False
2017-06-29,Nigeria,Belgium,1,1,FIFA World Cup qualification,False
2017-07-01,Nigeria,England,1,1,FIFA World Cup qualification,False
2017-07-03,Nigeria,Brazil,1,3,FIFA World Cup qualification,False
2017-07-05,Nigeria,Portugal,0,2,FIFA World Cup qualification,False
2017-07-07,Nigeria,Croatia,3,5,FIFA World Cup qualification,False
2017-07-09,South Korea,Spain,1,4,FIFA World Cup qualification,False
2017-07-11,South Korea,France,0,0,FIFA World Cup qualification,False
2017-07-13,South Korea,Uruguay,1,3,FIFA World Cup qualification,False
2017-07-15,South Korea,Germany,1,2,FIFA World Cup qualification,False
2017-07-17,South Korea,Japan,1,0,FIFA World Cup qualification,False
2017-07-19,South Korea,Belgium,3,0,FIFA World Cup qualification,False
2017-07-21,South Korea,England,1,2,FIFA World Cup qualification,False
2017-07-23,South Korea,Brazil,0,1,FIFA World Cup qualification,False
2017-07-25,South Korea,Portugal,1,2,FIFA World Cup qualification,False
2017-07-27,South Korea,Croatia,0,1,FIFA World Cup qualification,False
2017-07-29,Spain,France,0,2,FIFA World Cup qualification,False
2017-07-31,Spain,Uruguay,1,1,FIFA World Cup qualification,False
2017-08-02,Spain,Germany,2,0,FIFA World Cup qualification,False
2017-08-04,Spain,Japan,4,1,FIFA World Cup qualification,False
2017-08-06,Spain,Belgium,2,1,FIFA World Cup qualification,False
2017-08-08,Spain,England,0,1,FIFA World Cup qualification,False
2017-08-10,Spain,Brazil,0,0,FIFA World Cup qualification,False
2017-08-12,Spain,Portugal,2,0,FIFA World Cup qualification,False
2017-08-14,Spain,Croatia,2,2,FIFA World Cup qualification,False
2017-08-16,France,Uruguay,3,4,FIFA World Cup qualification,False
2017-08-18,France,Germany,2,0,FIFA World Cup qualification,False
2017-08-20,France,Japan,3,0,FIFA World Cup qualification,False
2017-08-22,France,Belgium,2,1,FIFA World Cup qualification,False
2017-08-24,France,England,3,0,FIFA World Cup qualification,False
2017-08-26,France,Brazil,0,0,FIFA World Cup qualification,False
2017-08-28,France,Portugal,3,1,FIFA World Cup qualification,False
2017-08-30,France,Croatia,4,0,FIFA World Cup qualification,False
2017-09-01,Uruguay,Germany,0,1,FIFA World Cup qualification,False
2017-09-03,Uruguay,Japan,4,1,FIFA World Cup qualification,False
2017-09-05,Uruguay,Belgium,4,3,FIFA World Cup qualification,False
2017-09-05,Brazil,England,2,0,Friendly,False
2017-09-07,Uruguay,England,0,1,FIFA World Cup qualification,False
2017-09-08,Spain,Portugal,4,1,Friendly,False
2017-09-09,Uruguay,Brazil,3,1,FIFA World Cup qualification,False
2017-09-11,Uruguay,Portugal,2,0,FIFA World Cup qualification,False
2017-09-11,Croatia,Mexico,1,2,Friendly,False
2017-09-13,Uruguay,Croatia,0,2,FIFA World Cup qualification,False
2017-09-14,Netherlands,Japan,2,0,Friendly,False
2017-09-15,Germany,Japan,1,0,FIFA World Cup qualification,False
2017-09-17,Germany,Belgium,5,0,FIFA World Cup qualification,False
2017-09-17,Argentina,Germany,0,2,Friendly,False
2017-09-19,Germany,England,0,1,FIFA World Cup qualification,False
2017-09-20,South Korea,France,1,1,Friendly,False
2017-09-21,Germany,Brazil,3,2,FIFA World Cup qualification,False
2017-09-23,Germany,Portugal,4,1,FIFA World Cup qualification,False
2017-09-23,Uruguay,Nigeria,3,3,Friendly,False
2017-09-25,Germany,Croatia,0,1,FIFA World Cup qualification,False
2017-09-26,Belgium,USA,3,1,Friendly,False
2017-09-27,Japan,Belgium,0,1,FIFA World Cup qualification,False
2017-09-29,Japan,England,1,1,FIFA World Cup qualification,False
2017-10-01,Japan,Brazil,1,2,FIFA World Cup qualification,False
2017-10-03,Japan,Portugal,3,0,FIFA World Cup qualification,False
2017-10-05,Japan,Croatia,2,3,FIFA World Cup qualification,False
2017-10-07,Belgium,England,1,1,FIFA World Cup qualification,False
2017-10-09,Belgium,Brazil,3,1,FIFA World Cup qualification,False
2017-10-11,Belgium,Portugal,2,1,FIFA World Cup qualification,False
2017-10-13,Belgium,Croatia,1,1,FIFA World Cup qualification,False
2017-10-15,England,Brazil,0,2,FIFA World Cup qualification,False
2017-10-17,England,Portugal,0,1,FIFA World Cup qualification,False
2017-10-19,England,Croatia,1,0,FIFA World Cup qualification,False
2017-10-21,Brazil,Portugal,2,0,FIFA World Cup qualification,False
2017-10-23,Brazil,Croatia,1,0,FIFA World Cup qualification,False
2017-10-25,Portugal,Croatia,3,2,FIFA World Cup qualification,False
2018-03-01,Netherlands,Belgium,1,1,FIFA World Cup qualification,False
2018-03-03,Mexico,Belgium,1,1,FIFA World Cup qualification,False
2018-03-05,Brazil,Belgium,1,0,FIFA World Cup qualification,False
2018-03-07,Portugal,Belgium,3,0,FIFA World Cup qualification,False
2018-03-09,Croatia,Belgium,1,1,FIFA World Cup qualification,False
2018-03-11,Argentina,Belgium,1,1,FIFA World Cup qualification,False
2018-03-13,Japan,Belgium,3,1,FIFA World Cup qualification,False
2018-03-15,Nigeria,Belgium,2,2,FIFA World Cup qualification,False
2018-03-17,South Korea,Belgium,0,2,FIFA World Cup qualification,False
2018-03-19,England,Belgium,1,0,FIFA World Cup qualification,False
2018-03-21,Uruguay,Belgium,2,2,FIFA World Cup qualification,False
2018-03-23,France,Belgium,2,1,FIFA World Cup qualification,False
2018-03-25,Germany,Belgium,1,3,FIFA World Cup qualification,False
2018-03-27,Spain,Belgium,2,0,FIFA World Cup qualification,False
2018-03-29,USA,Belgium,1,2,FIFA World Cup qualification,False
2018-03-31,Mexico,Netherlands,2,1,FIFA World Cup qualification,False
2018-04-02,Brazil,Netherlands,2,1,FIFA World Cup qualification,False
2018-04-04,Portugal,Netherlands,1,5,FIFA World Cup qualification,False
2018-04-06,Croatia,Netherlands,4,2,FIFA World Cup qualification,False
2018-04-08,Argentina,Netherlands,0,2,FIFA World Cup qualification,False
2018-04-10,Japan,Netherlands,1,5,FIFA World Cup qualification,False
2018-04-12,Nigeria,Netherlands,1,0,FIFA World Cup qualification,False
2018-04-14,South Korea,Netherlands,2,2,FIFA World Cup qualification,False
2018-04-16,England,Netherlands,1,1,FIFA World Cup qualification,False
2018-04-18,Uruguay,Netherlands,1,3,FIFA World Cup qualification,False
2018-04-20,France,Netherlands,2,0,FIFA World Cup qualification,False
2018-04-22,Germany,Netherlands,1,1,FIFA World Cup qualification,False
2018-04-24,Spain,Netherlands,1,0,FIFA World Cup qualification,False
2018-04-26,USA,Netherlands,1,1,FIFA World Cup qualification,False
2018-04-28,Brazil,Mexico,1,1,FIFA World Cup qualification,False
2018-04-30,Portugal,Mexico,3,0,FIFA World Cup qualification,False
2018-05-02,Croatia,Mexico,3,0,FIFA World Cup qualification,False
2018-05-04,Argentina,Mexico,3,1,FIFA World Cup qualification,False
2018-05-06,Japan,Mexico,3,2,FIFA World Cup qualification,False
2018-05-08,Nigeria,Mexico,2,0,FIFA World Cup qualification,False
2018-05-10,South Korea,Mexico,1,1,FIFA World Cup qualification,False
2018-05-12,England,Mexico,1,0,FIFA World Cup qualification,False
2018-05-14,Uruguay,Mexico,0,2,FIFA World Cup qualification,False
2018-05-16,France,Mexico,4,2,FIFA World Cup qualification,False
2018-05-18,Germany,Mexico,1,2,FIFA World Cup qualification,False
2018-05-20,Spain,Mexico,3,2,FIFA World Cup qualification,False
2018-05-22,USA,Mexico,1,0,FIFA World Cup qualification,False
2018-05-24,Portugal,Brazil,1,1,FIFA World Cup qualification,False
2018-05-26,Croatia,Brazil,1,1,FIFA World Cup qualification,False
2018-05-28,Argentina,Brazil,2,1,FIFA World Cup qualification,False
2018-05-30,Japan,Brazil,1,2,FIFA World Cup qualification,False
2018-06-01,Nigeria,Brazil,1,2,FIFA World Cup qualification,False
2018-06-03,South Korea,Brazil,1,2,FIFA World Cup qualification,False
2018-06-05,England,Brazil,0,3,FIFA World Cup qualification,False
2018-06-07,Uruguay,Brazil,0,1,FIFA World Cup qualification,False
2018-06-09,France,Brazil,0,1,FIFA World Cup qualification,False
2018-06-11,Germany,Brazil,0,0,FIFA World Cup qualification,False
2018-06-13,Spain,Brazil,1,1,FIFA World Cup qualification,False
2018-06-14,Netherlands,France,0,0,FIFA World Cup,True
2018-06-15,USA,Brazil,0,2,FIFA World Cup qualification,False
2018-06-15,Netherlands,Brazil,2,0,FIFA World Cup,True
2018-06-16,Netherlands,Belgium,5,1,FIFA World Cup,True
2018-06-17,Croatia,Portugal,2,1,FIFA World Cup qualification,False
2018-06-17,France,Brazil,3,1,FIFA World Cup,True
2018-06-18,France,Belgium,1,2,FIFA World Cup,True
2018-06-19,Argentina,Portugal,4,1,FIFA World Cup qualification,False
2018-06-19,Brazil,Belgium,0,0,FIFA World Cup,True
2018-06-20,Spain,Argentina,2,0,FIFA World Cup,True
2018-06-21,Japan,Portugal,2,2,FIFA World Cup qualification,False
2018-06-21,Spain,England,2,1,FIFA World Cup,True
2018-06-22,Spain,Portugal,1,0,FIFA World Cup,True
2018-06-23,Nigeria,Portugal,0,1,FIFA World Cup qualification,False
2018-06-23,Argentina,England,0,0,FIFA World Cup,True
2018-06-24,Argentina,Portugal,0,2,FIFA World Cup,True
2018-06-25,South Korea,Portugal,0,1,FIFA World Cup qualification,False
2018-06-25,England,Portugal,2,0,FIFA World Cup,True
2018-06-26,Netherlands,Argentina,0,1,FIFA World Cup,True
2018-06-27,England,Portugal,1,2,FIFA World Cup qualification,False
2018-06-28,France,Spain,1,1,FIFA World Cup,True
2018-06-29,Uruguay,Portugal,3,1,FIFA World Cup qualification,False
2018-06-30,Brazil,Portugal,2,2,FIFA World Cup,True
2018-07-01,France,Portugal,2,0,FIFA World Cup qualification,False
2018-07-02,Belgium,England,2,2,FIFA World Cup,True
2018-07-03,Germany,Portugal,2,0,FIFA World Cup qualification,False
2018-07-05,Spain,Portugal,3,0,FIFA World Cup qualification,False
2018-07-07,USA,Portugal,0,3,FIFA World Cup qualification,False
2018-07-09,Argentina,Croatia,2,1,FIFA World Cup qualification,False
2018-07-11,Japan,Croatia,2,0,FIFA World Cup qualification,False
2018-07-13,Nigeria,Croatia,0,2,FIFA World Cup qualification,False
2018-07-15,South Korea,Croatia,1,3,FIFA World Cup qualification,False
2018-07-17,England,Croatia,1,3,FIFA World Cup qualification,False
2018-07-19,Uruguay,Croatia,2,1,FIFA World Cup qualification,False
2018-07-21,France,Croatia,0,0,FIFA World Cup qualification,False
2018-07-23,Germany,Croatia,0,2,FIFA World Cup qualification,False
2018-07-25,Spain,Croatia,2,0,FIFA World Cup qualification,False
2018-07-27,USA,Croatia,1,1,FIFA World Cup qualification,False
2018-07-29,Japan,Argentina,2,0,FIFA World Cup qualification,False
2018-07-31,Nigeria,Argentina,2,0,FIFA World Cup qualification,False
2018-08-02,South Korea,Argentina,0,2,FIFA World Cup qualification,False
2018-08-04,England,Argentina,2,0,FIFA World Cup qualification,False
2018-08-06,Uruguay,Argentina,0,2,FIFA World Cup qualification,False
2018-08-08,France,Argentina,0,2,FIFA World Cup qualification,False
2018-08-10,Germany,Argentina,1,1,FIFA World Cup qualification,False
2018-08-12,Spain,Argentina,1,2,FIFA World Cup qualification,False
2018-08-14,USA,Argentina,2,3,FIFA World Cup qualification,False
2018-08-16,Nigeria,Japan,1,1,FIFA World Cup qualification,False
2018-08-18,South Korea,Japan,1,3,FIFA World Cup qualification,False
2018-08-20,England,Japan,1,2,FIFA World Cup qualification,False
2018-08-22,Uruguay,Japan,1,1,FIFA World Cup qualification,False
2018-08-24,France,Japan,1,0,FIFA World Cup qualification,False
2018-08-26,Germany,Japan,5,0,FIFA World Cup qualification,False
2018-08-28,Spain,Japan,1,0,FIFA World Cup qualification,False
2018-08-30,USA,Japan,2,0,FIFA World Cup qualification,False
2018-09-01,South Korea,Nigeria,2,3,FIFA World Cup qualification,False
2018-09-03,England,Nigeria,2,2,FIFA World Cup qualification,False
2018-09-05,Uruguay,Nigeria,1,2,FIFA World Cup qualification,False
2018-09-05,Japan,Belgium,1,1,Friendly,False
2018-09-07,France,Nigeria,5,1,FIFA World Cup qualification,False
2018-09-08,France,Spain,2,1,Friendly,False
2018-09-09,Germany,Nigeria,2,1,FIFA World Cup qualification,False
2018-09-11,Spain,Nigeria,2,0,FIFA World Cup qualification,False
2018-09-11,Croatia,Uruguay,2,1,Friendly,False
2018-09-13,USA,Nigeria,1,0,FIFA World Cup qualification,False
2018-09-14,South Korea,Portugal,0,3,Friendly,False
2018-09-15,England,South Korea,0,0,FIFA World Cup qualification,False
2018-09-17,Uruguay,South Korea,1,2,FIFA World Cup qualification,False
2018-09-17,Mexico,Nigeria,2,1,Friendly,False
2018-09-19,France,South Korea,3,1,FIFA World Cup qualification,False
2018-09-20,Argentina,Germany,2,3,Friendly,False
2018-09-21,Germany,South Korea,4,0,FIFA World Cup qualification,False
2018-09-23,Spain,South Korea,2,0,FIFA World Cup qualification,False
2018-09-23,England,USA,2,2,Friendly,False
2018-09-25,USA,South Korea,1,0,FIFA World Cup qualification,False
2018-09-26,Netherlands,Brazil,0,1,Friendly,False
2018-09-27,Uruguay,England,2,1,FIFA World Cup qualification,False
2018-09-29,France,England,0,1,FIFA World Cup qualification,False
2018-10-01,Germany,England,1,2,FIFA World Cup qualification,False
2018-10-03,Spain,England,0,2,FIFA World Cup qualification,False
2018-10-05,USA,England,1,1,FIFA World Cup qualification,False
2018-10-07,France,Uruguay,2,0,FIFA World Cup qualification,False
2018-10-09,Germany,Uruguay,2,2,FIFA World Cup qualification,False
2018-10-11,Spain,Uruguay,4,0,FIFA World Cup qualification,False
2018-10-13,USA,Uruguay,1,0,FIFA World Cup qualification,False
2018-10-15,Germany,France,1,2,FIFA World Cup qualification,False
2018-10-17,Spain,France,1,2,FIFA World Cup qualification,False
2018-10-19,USA,France,0,1,FIFA World Cup qualification,False
2018-10-21,Spain,Germany,2,1,FIFA World Cup qualification,False
2018-10-23,USA,Germany,1,2,FIFA World Cup qualification,False
2018-10-25,USA,Spain,1,3,FIFA World Cup qualification,False
2019-03-01,Japan,Netherlands,0,2,FIFA World Cup qualification,False
2019-03-03,Japan,South Korea,2,0,FIFA World Cup qualification,False
2019-03-05,Japan,England,1,3,FIFA World Cup qualification,False
2019-03-07,Japan,Germany,0,3,FIFA World Cup qualification,False
2019-03-09,Japan,Mexico,0,0,FIFA World Cup qualification,False
2019-03-11,Japan,Croatia,3,4,FIFA World Cup qualification,False
2019-03-13,Japan,Uruguay,1,1,FIFA World Cup qualification,False
2019-03-15,Japan,Nigeria,1,0,FIFA World Cup qualification,False
2019-03-17,Japan,Spain,0,2,FIFA World Cup qualification,False
2019-03-19,Japan,Brazil,0,2,FIFA World Cup qualification,False
2019-03-21,Japan,France,1,3,FIFA World Cup qualification,False
2019-03-23,Japan,Argentina,0,3,FIFA World Cup qualification,False
2019-03-25,Japan,Belgium,0,0,FIFA World Cup qualification,False
2019-03-27,Japan,Portugal,0,0,FIFA World Cup qualification,False
2019-03-29,Japan,USA,2,1,FIFA World Cup qualification,False
2019-03-31,Netherlands,South Korea,1,1,FIFA World Cup qualification,False
2019-04-02,Netherlands,England,3,1,FIFA World Cup qualification,False
2019-04-04,Netherlands,Germany,4,2,FIFA World Cup qualification,False
2019-04-06,Netherlands,Mexico,1,1,FIFA World Cup qualification,False
2019-04-08,Netherlands,Croatia,0,0,FIFA World Cup qualification,False
2019-04-10,Netherlands,Uruguay,1,0,FIFA World Cup qualification,False
2019-04-12,Netherlands,Nigeria,4,1,FIFA World Cup qualification,False
2019-04-14,Netherlands,Spain,0,0,FIFA World Cup qualification,False
2019-04-16,Netherlands,Brazil,0,0,FIFA World Cup qualification,False
2019-04-18,Netherlands,France,1,0,FIFA World Cup qualification,False
2019-04-20,Netherlands,Argentina,1,0,FIFA World Cup qualification,False
2019-04-22,Netherlands,Belgium,0,0,FIFA World Cup qualification,False
2019-04-24,Netherlands,Portugal,1,2,FIFA World Cup qualification,False
2019-04-26,Netherlands,USA,2,0,FIFA World Cup qualification,False
2019-04-28,South Korea,England,1,0,FIFA World Cup qualification,False
2019-04-30,South Korea,Germany,0,1,FIFA World Cup qualification,False
2019-05-02,South Korea,Mexico,2,0,FIFA World Cup qualification,False
2019-05-04,South Korea,Croatia,0,2,FIFA World Cup qualification,False
2019-05-06,South Korea,Uruguay,1,3,FIFA World Cup qualification,False
2019-05-08,South Korea,Nigeria,1,2,FIFA World Cup qualification,False
2019-05-10,South Korea,Spain,2,3,FIFA World Cup qualification,False
2019-05-12,South Korea,Brazil,4,3,FIFA World Cup qualification,False
2019-05-14,South Korea,France,2,2,FIFA World Cup qualification,False
2019-05-16,South Korea,Argentina,0,2,FIFA World Cup qualification,False
2019-05-18,South Korea,Belgium,1,4,FIFA World Cup qualification,False
2019-05-20,South Korea,Portugal,1,1,FIFA World Cup qualification,False
2019-05-22,South Korea,USA,3,0,FIFA World Cup qualification,False
2019-05-24,England,Germany,2,0,FIFA World Cup qualification,False
2019-05-26,England,Mexico,2,1,FIFA World Cup qualification,False
2019-05-28,England,Croatia,1,0,FIFA World Cup qualification,False
2019-05-30,England,Uruguay,2,0,FIFA World Cup qualification,False
2019-06-01,England,Nigeria,2,0,FIFA World Cup qualification,False
2019-06-03,England,Spain,0,2,FIFA World Cup qualification,False
2019-06-05,England,Brazil,1,1,FIFA World Cup qualification,False
2019-06-07,England,France,0,2,FIFA World Cup qualification,False
2019-06-09,England,Argentina,2,1,FIFA World Cup qualification,False
2019-06-11,England,Belgium,2,0,FIFA World Cup qualification,False
2019-06-13,England,Portugal,3,4,FIFA World Cup qualification,False
2019-06-15,England,USA,3,2,FIFA World Cup qualification,False
2019-06-17,Germany,Mexico,2,2,FIFA World Cup qualification,False
2019-06-19,Germany,Croatia,2,1,FIFA World Cup qualification,False
2019-06-21,Germany,Uruguay,3,1,FIFA World Cup qualification,False
2019-06-23,Germany,Nigeria,4,0,FIFA World Cup qualification,False
2019-06-25,Germany,Spain,1,0,FIFA World Cup qualification,False
2019-06-27,Germany,Brazil,2,2,FIFA World Cup qualification,False
2019-06-29,Germany,France,1,1,FIFA World Cup qualification,False
2019-07-01,Germany,Argentina,1,1,FIFA World Cup qualification,False
2019-07-03,Germany,Belgium,1,2,FIFA World Cup qualification,False
2019-07-05,Germany,Portugal,0,0,FIFA World Cup qualification,False
2019-07-07,Germany,USA,3,0,FIFA World Cup qualification,False
2019-07-09,Mexico,Croatia,2,1,FIFA World Cup qualification,False
2019-07-11,Mexico,Uruguay,1,2,FIFA World Cup qualification,False
2019-07-13,Mexico,Nigeria,6,1,FIFA World Cup qualification,False
2019-07-15,Mexico,Spain,2,1,FIFA World Cup qualification,False
2019-07-17,Mexico,Brazil,1,0,FIFA World Cup qualification,False
2019-07-19,Mexico,France,4,2,FIFA World Cup qualification,False
2019-07-21,Mexico,Argentina,1,2,FIFA World Cup qualification,False
2019-07-23,Mexico,Belgium,2,1,FIFA World Cup qualification,False
2019-07-25,Mexico,Portugal,0,1,FIFA World Cup qualification,False
2019-07-27,Mexico,USA,0,1,FIFA World Cup qualification,False
2019-07-29,Croatia,Uruguay,2,1,FIFA World Cup qualification,False
2019-07-31,Croatia,Nigeria,1,1,FIFA World Cup qualification,False
2019-08-02,Croatia,Spain,1,0,FIFA World Cup qualification,False
2019-08-04,Croatia,Brazil,1,1,FIFA World Cup qualification,False
2019-08-06,Croatia,France,0,1,FIFA World Cup qualification,False
2019-08-08,Croatia,Argentina,3,2,FIFA World Cup qualification,False
2019-08-10,Croatia,Belgium,1,2,FIFA World Cup qualification,False
2019-08-12,Croatia,Portugal,2,1,FIFA World Cup qualification,False
2019-08-14,Croatia,USA,1,2,FIFA World Cup qualification,False
2019-08-16,Uruguay,Nigeria,1,2,FIFA World Cup qualification,False
2019-08-18,Uruguay,Spain,1,1,FIFA World Cup qualification,False
2019-08-20,Uruguay,Brazil,1,0,FIFA World Cup qualification,False
2019-08-22,Uruguay,France,0,2,FIFA World Cup qualification,False
2019-08-24,Uruguay,Argentina,1,1,FIFA World Cup qualification,False
2019-08-26,Uruguay,Belgium,1,3,FIFA World Cup qualification,False
2019-08-28,Uruguay,Portugal,1,2,FIFA World Cup qualification,False
2019-08-30,Uruguay,USA,2,2,FIFA World Cup qualification,False
2019-09-01,Nigeria,Spain,1,3,FIFA World Cup qualification,False
2019-09-03,Nigeria,Brazil,1,0,FIFA World Cup qualification,False
2019-09-05,Nigeria,France,0,1,FIFA World Cup qualification,False
2019-09-05,France,Japan,0,0,Friendly,False
2019-09-07,Nigeria,Argentina,1,2,FIFA World Cup qualification,False
2019-09-08,Uruguay,Croatia,0,3,Friendly,False
2019-09-09,Nigeria,Belgium,2,2,FIFA World Cup qualification,False
2019-09-11,Nigeria,Portugal,1,2,FIFA World Cup qualification,False
2019-09-11,Spain,Portugal,3,0,Friendly,False
2019-09-13,Nigeria,USA,0,2,FIFA World Cup qualification,False
2019-09-14,Netherlands,Germany,2,1,Friendly,False
2019-09-15,Spain,Brazil,0,5,FIFA World Cup qualification,False
2019-09-17,Spain,France,1,3,FIFA World Cup qualification,False
2019-09-17,South Korea,Belgium,0,3,Friendly,False
2019-09-19,Spain,Argentina,2,2,FIFA World Cup qualification,False
2019-09-20,USA,Argentina,1,4,Friendly,False
2019-09-21,Spain,Belgium,3,1,FIFA World Cup qualification,False
2019-09-23,Spain,Portugal,1,3,FIFA World Cup qualification,False
2019-09-23,Brazil,Nigeria,1,2,Friendly,False
2019-09-25,Spain,USA,0,1,FIFA World Cup qualification,False
2019-09-26,Mexico,England,0,1,Friendly,False
2019-09-27,Brazil,France,1,1,FIFA World Cup qualification,False
2019-09-29,Brazil,Argentina,2,1,FIFA World Cup qualification,False
2019-10-01,Brazil,Belgium,1,1,FIFA World Cup qualification,False
2019-10-03,Brazil,Portugal,2,2,FIFA World Cup qualification,False
2019-10-05,Brazil,USA,0,0,FIFA World Cup qualification,False
2019-10-07,France,Argentina,1,1,FIFA World Cup qualification,False
2019-10-09,France,Belgium,0,1,FIFA World Cup qualification,False
2019-10-11,France,Portugal,1,1,FIFA World Cup qualification,False
2019-10-13,France,USA,4,1,FIFA World Cup qualification,False
2019-10-15,Argentina,Belgium,1,2,FIFA World Cup qualification,False
2019-10-17,Argentina,Portugal,1,0,FIFA World Cup qualification,False
2019-10-19,Argentina,USA,2,1,FIFA World Cup qualification,False
2019-10-21,Belgium,Portugal,0,1,FIFA World Cup qualification,False
2019-10-23,Belgium,USA,2,3,FIFA World Cup qualification,False
2019-10-25,Portugal,USA,3,1,FIFA World Cup qualification,False
2020-03-01,Croatia,Uruguay,3,4,FIFA World Cup qualification,False
2020-03-03,Argentina,Uruguay,5,0,FIFA World Cup qualification,False
2020-03-05,Japan,Uruguay,3,2,FIFA World Cup qualification,False
2020-03-07,Nigeria,Uruguay,0,1,FIFA World Cup qualification,False
2020-03-09,Mexico,Uruguay,1,0,FIFA World Cup qualification,False
2020-03-11,USA,Uruguay,0,4,FIFA World Cup qualification,False
2020-03-13,Spain,Uruguay,2,3,FIFA World Cup qualification,False
2020-03-15,France,Uruguay,1,0,FIFA World Cup qualification,False
2020-03-17,Belgium,Uruguay,3,4,FIFA World Cup qualification,False
2020-03-19,Portugal,Uruguay,5,1,FIFA World Cup qualification,False
2020-03-21,England,Uruguay,0,2,FIFA World Cup qualification,False
2020-03-23,Germany,Uruguay,3,2,FIFA World Cup qualification,False
2020-03-25,Netherlands,Uruguay,4,2,FIFA World Cup qualification,False
2020-03-27,South Korea,Uruguay,3,1,FIFA World Cup qualification,False
2020-03-29,Brazil,Uruguay,1,3,FIFA World Cup qualification,False
2020-03-31,Argentina,Croatia,1,1,FIFA World Cup qualification,False
2020-04-02,Japan,Croatia,3,2,FIFA World Cup qualification,False
2020-04-04,Nigeria,Croatia,0,3,FIFA World Cup qualification,False
2020-04-06,Mexico,Croatia,1,1,FIFA World Cup qualification,False
2020-04-08,USA,Croatia,3,0,FIFA World Cup qualification,False
2020-04-10,Spain,Croatia,3,0,FIFA World Cup qualification,False
2020-04-12,France,Croatia,0,2,FIFA World Cup qualification,False
2020-04-14,Belgium,Croatia,1,1,FIFA World Cup qualification,False
2020-04-16,Portugal,Croatia,3,2,FIFA World Cup qualification,False
2020-04-18,England,Croatia,1,0,FIFA World Cup qualification,False
2020-04-20,Germany,Croatia,0,0,FIFA World Cup qualification,False
2020-04-22,Netherlands,Croatia,0,1,FIFA World Cup qualification,False
2020-04-24,South Korea,Croatia,0,2,FIFA World Cup qualification,False
2020-04-26,Brazil,Croatia,3,0,FIFA World Cup qualification,False
2020-04-28,Japan,Argentina,0,0,FIFA World Cup qualification,False
2020-04-30,Nigeria,Argentina,1,4,FIFA World Cup qualification,False
2020-05-02,Mexico,Argentina,1,2,FIFA World Cup qualification,False
2020-05-04,USA,Argentina,1,0,FIFA World Cup qualification,False
2020-05-06,Spain,Argentina,3,1,FIFA World Cup qualification,False
2020-05-08,France,Argentina,0,1,FIFA World Cup qualification,False
2020-05-10,Belgium,Argentina,1,0,FIFA World Cup qualification,False
2020-05-12,Portugal,Argentina,4,1,FIFA World Cup qualification,False
2020-05-14,England,Argentina,1,1,FIFA World Cup qualification,False
2020-05-16,Germany,Argentina,3,1,FIFA World Cup qualification,False
2020-05-18,Netherlands,Argentina,1,0,FIFA World Cup qualification,False
2020-05-20,South Korea,Argentina,1,3,FIFA World Cup qualification,False
2020-05-22,Brazil,Argentina,1,1,FIFA World Cup qualification,False
2020-05-24,Nigeria,Japan,1,2,FIFA World Cup qualification,False
2020-05-26,Mexico,Japan,1,1,FIFA World Cup qualification,False
2020-05-28,USA,Japan,2,0,FIFA World Cup qualification,False
2020-05-30,Spain,Japan,2,0,FIFA World Cup qualification,False
2020-06-01,France,Japan,3,1,FIFA World Cup qualification,False
2020-06-03,Belgium,Japan,3,3,FIFA World Cup qualification,False
2020-06-05,Portugal,Japan,2,1,FIFA World Cup qualification,False
2020-06-07,England,Japan,3,0,FIFA World Cup qualification,False
2020-06-09,Germany,Japan,0,0,FIFA World Cup qualification,False
2020-06-11,Netherlands,Japan,2,3,FIFA World Cup qualification,False
2020-06-13,South Korea,Japan,2,3,FIFA World Cup qualification,False
2020-06-15,Brazil,Japan,1,0,FIFA World Cup qualification,False
2020-06-17,Mexico,Nigeria,6,0,FIFA World Cup qualification,False
2020-06-19,USA,Nigeria,1,0,FIFA World Cup qualification,False
2020-06-21,Spain,Nigeria,4,1,FIFA World Cup qualification,False
2020-06-23,France,Nigeria,4,1,FIFA World Cup qualification,False
2020-06-25,Belgium,Nigeria,2,0,FIFA World Cup qualification,False
2020-06-27,Portugal,Nigeria,4,1,FIFA World Cup qualification,False
2020-06-29,England,Nigeria,0,3,FIFA World Cup qualification,False
2020-07-01,Germany,Nigeria,1,0,FIFA World Cup qualification,False
2020-07-03,Netherlands,Nigeria,4,0,FIFA World Cup qualification,False
2020-07-05,South Korea,Nigeria,0,0,FIFA World Cup qualification,False
